year,stname,numbirth_hispnativeb_nonmex,numbirth_hisp_nonmexican_nativeb,numbirth_hispforb_other,numbirth_hispforb_mex,numbirth_hisp_mexican_nativeb,numbirth_educ_miss_hispforb,numbirth_gtc_hispforb,numbirth_ba_hispforb,numbirth_somecoll_hispforb,numbirth_hsgrad_hispforb,numbirth_lesshs_hispforb,numbirth_hisp_nonnativeb3544,numbirth_hisp_nonnativeb2534,numbirth_hisp_nonnativeb2024,numbirth_hisp_nonnativeb1519,numbirth_hisp_missnativeb,numbirth_hisp_nonnativeb,numbirth_hisp_nativeb,numbirth_educ_miss_hisp_3544,numbirth_gtc_hisp_3544,numbirth_ba_hisp_3544,numbirth_somecoll_hisp_3544,numbirth_hsgrad_hisp_3544,numbirth_lesshs_hisp_3544,numbirth_educ_miss_hisp_2534,numbirth_gtc_hisp_2534,numbirth_ba_hisp_2534,numbirth_somecoll_hisp_2534,numbirth_hsgrad_hisp_2534,numbirth_lesshs_hisp_2534,numbirth_educ_miss_hisp_2024,numbirth_gtc_hisp_2024,numbirth_ba_hisp_2024,numbirth_somecoll_hisp_2024,numbirth_hsgrad_hisp_2024,numbirth_lesshs_hisp_2024,numbirth_educ_miss_hisp_1519,numbirth_gtc_hisp_1519,numbirth_ba_hisp_1519,numbirth_somecoll_hisp_1519,numbirth_hsgrad_hisp_1519,numbirth_lesshs_hisp_1519,numbirth_educ_miss_blacknh_3544,numbirth_gtc_blacknh_3544,numbirth_ba_blacknh_3544,numbirth_somecoll_blacknh_3544,numbirth_hsgrad_blacknh_3544,numbirth_lesshs_blacknh_3544,numbirth_educ_miss_blacknh_2534,numbirth_gtc_blacknh_2534,numbirth_ba_blacknh_2534,numbirth_somecoll_blacknh_2534,numbirth_hsgrad_blacknh_2534,numbirth_lesshs_blacknh_2534,numbirth_educ_miss_blacknh_2024,numbirth_gtc_blacknh_2024,numbirth_ba_blacknh_2024,numbirth_somecoll_blacknh_2024,numbirth_hsgrad_blacknh_2024,numbirth_lesshs_blacknh_2024,numbirth_educ_miss_blacknh_1519,numbirth_gtc_blacknh_1519,numbirth_ba_blacknh_1519,numbirth_somecoll_blacknh_1519,numbirth_hsgrad_blacknh_1519,numbirth_lesshs_blacknh_1519,numbirth_educ_miss_whitenh_3544,numbirth_gtc_whitenh_3544,numbirth_ba_whitenh_3544,numbirth_somecoll_whitenh_3544,numbirth_hsgrad_whitenh_3544,numbirth_lesshs_whitenh_3544,numbirth_educ_miss_whitenh_2534,numbirth_gtc_whitenh_2534,numbirth_ba_whitenh_2534,numbirth_somecoll_whitenh_2534,numbirth_hsgrad_whitenh_2534,numbirth_lesshs_whitenh_2534,numbirth_educ_miss_whitenh_2024,numbirth_gtc_whitenh_2024,numbirth_ba_whitenh_2024,numbirth_somecoll_whitenh_2024,numbirth_hsgrad_whitenh_2024,numbirth_lesshs_whitenh_2024,numbirth_educ_miss_whitenh_1519,numbirth_gtc_whitenh_1519,numbirth_ba_whitenh_1519,numbirth_somecoll_whitenh_1519,numbirth_hsgrad_whitenh_1519,numbirth_lesshs_whitenh_1519,numbirth_educ_miss_3544,numbirth_gtc_3544,numbirth_ba_3544,numbirth_somecoll_3544,numbirth_hsgrad_3544,numbirth_lesshs_3544,numbirth_educ_miss_2534,numbirth_gtc_2534,numbirth_ba_2534,numbirth_somecoll_2534,numbirth_hsgrad_2534,numbirth_lesshs_2534,numbirth_educ_miss_2024,numbirth_gtc_2024,numbirth_ba_2024,numbirth_somecoll_2024,numbirth_hsgrad_2024,numbirth_lesshs_2024,numbirth_married,numbirth_unmarried,numbirth_hisp,numbirth_blacknh,numbirth_whitenh,numbirth_educ_miss_45plus,numbirth_gtc_45plus,numbirth_ba_45plus,numbirth_somecoll_45plus,numbirth_hsgrad_45plus,numbirth_lesshs_45plus,numbirth_educ_miss_1519,numbirth_gtc_1519,numbirth_ba_1519,numbirth_somecoll_1519,numbirth_hsgrad_1519,numbirth_lesshs_1519,numbirth_educ_miss,numbirth_gtc,numbirth_ba,numbirth_somecoll,numbirth_hsgrad,numbirth_lesshs,numbirth45plus,numbirth4044,numbirth3539,numbirth3034,numbirth2529,numbirth2024,numbirth1519,state,pop,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,pop30,pop31,pop32,pop33,pop34,pop35,pop36,pop37,pop38,pop39,pop40,pop41,pop42,pop43,pop44,pop1519,pop2024,pop2534,pop2034,pop3544,pop45plus,popwhitenh1519,popwhitenh2024,popwhitenh2534,popwhitenh2034,popwhitenh3544,popwhitenh45plus,popblacknh1519,popblacknh2024,popblacknh2534,popblacknh2034,popblacknh3544,popblacknh45plus,pophispanic1519,pophispanic2024,pophispanic2534,pophispanic2034,pophispanic3544,pophispanic45plus,popotherrace1519,popotherrace2024,popotherrace2534,popotherrace2034,popotherrace3544,popotherrace45plus,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819,pop2045plus,popwhite1544,popblack1544,pophispanic1544,numbirth2034,numbirth3544,numbirth1544,numbirth1545plus,pop1544,brate1519,brate2034,brate3544,brate1544,numbirth_colgrad_1519,numbirth_colgrad_2024,numbirth_colgrad_2534,numbirth_colgrad_3544,numbirth_colgrad,numbirth_alleduc,numbirth_whitenhblacknhhisp,numbirth_marriedunmarried,numbirth_noorderbirth_2044,numbirth_fourthbirth_2044,numbirth_thirdbirth_2044,numbirth_secondbirth_2044,numbirth_firstbirth_2044,numbirth_noorderbirth,numbirth_fourthbirth,numbirth_thirdbirth,numbirth_secondbirth,numbirth_firstbirth
1992,AZ,384,44410,565,10179,10601,427,101,226,779,2194,6999,793,4704,3586,1639,44,10722,10985,41,54,63,183,336,719,230,202,394,1340,2578,3890,206,12,104,834,2271,3771,105,0,0,132,901,3385,5,14,14,36,40,21,20,36,87,268,347,155,15,4,24,183,340,231,8,0,0,39,159,341,46,688,822,1045,879,388,217,1722,3675,5653,6499,2369,132,106,374,2347,4501,2231,83,0,0,220,1337,2389,114,799,958,1418,1495,1322,553,2079,4363,7919,10598,7245,424,129,524,3679,7925,6916,43858,24749,21751,2387,37723,NA,6,2,12,10,4,230,0,0,449,2689,6779,1091,3007,5845,13016,20018,15483,34,821,5285,13567,19190,19597,10147,4,877673,25847,24744,25457,24431,26040,27607,29309,28544,27464,27569,28518,29566,31517,31265,34551,34534,33679,33680,32731,33245,32924,30875,30516,28453,29710,28996,26979,26657,25941,26324,126519,140493,323286,463779,287375,0,74841,89516,218276,307792,210874,210874,4511,4491,10145,14636,7834,0,35707,35106,70077,105183,49477,0,11460,11380,24788,36168,19190,0,0.20429342985153198,0.19557537138462067,0.2012108862400055,0.1931014358997345,0.20581889152526855,0.059526197612285614,0.06319604814052582,0.061546556651592255,0.05921785905957222,0.059444259852170944,0.0614904947578907,0.06375019252300262,0.06795693933963776,0.0674135759472847,0.07449884712696075,0.07446219027042389,0.07261864095926285,0.07262079417705536,0.0705745592713356,0.07168284803628922,0.1145680695772171,0.10743801295757294,0.10618877410888672,0.09901000559329987,0.10338407754898071,0.10089952498674393,0.09388081729412079,0.09276033192873001,0.0902688130736351,0.09160156548023224,0.39892032742500305,751154,593507,26981,190367,52354,6106,68607,68641,877673,-2.523214340209961,-2.181379795074463,-3.851516008377075,-2.548879623413086,0,653,6442,1757,8852,57369,61861,68607,76,10175,11370,18495,18344,82,10263,11799,20586,25911
1993,AZ,391,43798,588,10854,10606,510,141,238,856,2450,7225,817,5135,3720,1743,54,11415,10996,46,53,68,216,324,649,270,218,467,1438,2734,3924,216,22,95,948,2464,3630,121,0,0,143,943,3476,1,16,20,44,39,17,24,29,75,280,319,108,9,1,8,210,359,168,15,0,0,34,148,337,29,650,969,1150,970,141,155,1779,4103,5886,6067,1163,122,106,415,2584,4402,1873,74,0,0,259,1293,2254,97,782,1143,1587,1590,1005,538,2195,4974,8401,10418,6017,423,141,561,4191,8167,6353,42871,25964,22465,2261,36444,1,4,4,12,5,9,240,0,0,486,2717,6809,1058,3118,6678,14179,20175,13375,35,877,5327,13734,18809,19836,10252,4,903196,26672,26440,25688,26036,26504,26835,27679,29586,29552,29021,29060,29724,30882,31459,34608,35225,34712,34784,34322,34066,34255,32924,31555,30019,31081,30080,28747,27627,27151,26902,131340,142673,328842,471515,300341,0,76780,88995,218071,307066,218271,218271,4590,4624,10246,14870,8302,0,38195,37193,74835,112028,53526,0,11775,11861,25690,37551,20242,0,0.20307599008083344,0.20130957663059235,0.1955839842557907,0.19823358952999115,0.20179685950279236,0.056912291795015335,0.058702267706394196,0.06274668127298355,0.06267456710338593,0.06154841184616089,0.06163112446665764,0.06303935497999191,0.06549526751041412,0.06671898066997528,0.0733974501490593,0.07470600306987762,0.07361801713705063,0.07377071678638458,0.07279089838266373,0.07224796712398529,0.11405368894338608,0.109622061252594,0.10506390780210495,0.09994972497224808,0.10348570346832275,0.10015282779932022,0.09571453928947449,0.09198544174432755,0.0904005765914917,0.0895715206861496,0.4000304341316223,771856,602117,27762,203749,52379,6204,68835,68870,903196,-2.550316572189331,-2.1974451541900635,-3.8797242641448975,-2.5742273330688477,0,702,7169,1925,9796,57525,61170,68835,59,9785,11279,19125,18335,71,9885,11672,21214,26028
1994,AZ,393,43808,682,11698,11160,714,153,263,966,2643,7612,966,5418,4036,1925,85,12345,11553,66,61,120,256,390,742,391,237,506,1537,2907,3835,335,31,88,1064,2576,3787,207,0,0,173,1016,3658,3,13,31,53,47,22,26,37,89,290,318,117,20,2,31,210,306,176,13,0,0,42,150,311,45,751,1037,1225,1048,151,213,1931,4307,5844,5969,1116,127,98,495,2692,3996,1686,87,0,0,274,1329,2103,153,896,1287,1705,1721,1077,757,2390,5286,8465,10522,5773,551,144,660,4476,7829,6282,43658,26905,23983,2307,36524,NA,2,5,9,11,10,355,0,0,561,2828,6845,1461,3430,7233,14646,20072,13132,37,1028,5811,14437,18756,19942,10589,4,943058,27811,26758,27837,26831,28602,27794,27382,28547,31266,31671,31202,30707,31528,31420,34949,36003,35744,36358,35839,36171,35776,34728,34027,31708,32988,32139,30217,29981,28556,28518,137839,146660,339921,486581,318638,0,79861,89138,222052,311190,229730,229730,4914,4929,10835,15764,9049,0,40822,40209,80485,120694,58153,0,12242,12384,26549,38933,21706,0,0.20176437497138977,0.19412502646446228,0.2019530087709427,0.19465462863445282,0.20750296115875244,0.05712101235985756,0.05627429112792015,0.05866854637861252,0.06425651907920837,0.06508885324001312,0.06412498652935028,0.0631076842546463,0.06479496508836746,0.0645730122923851,0.07182565331459045,0.0739917904138565,0.07345950603485107,0.07472137361764908,0.07365474849939346,0.07433705776929855,0.11227788031101227,0.10898888111114502,0.10678889602422714,0.0995110422372818,0.10352814197540283,0.10086367279291153,0.09483174979686737,0.09409110248088837,0.08961894363164902,0.08949968218803406,0.40215760469436646,805219,620781,29727,219669,53135,6839,70563,70600,943058,-2.566270589828491,-2.2145674228668213,-3.841414213180542,-2.5926218032836914,0,804,7676,2183,10663,58513,62814,70563,99,9772,11590,19423,19090,109,9860,11974,21399,27258
1995,AZ,444,43949,681,12909,11239,648,119,308,998,3151,8337,1025,5863,4555,2114,113,13557,11683,64,79,117,286,375,747,369,253,569,1569,3069,4027,333,29,121,1162,2761,4109,214,0,0,128,1070,3902,6,20,34,56,39,19,26,36,113,271,283,84,25,4,17,187,298,176,23,0,0,24,148,258,60,888,1202,1320,1125,152,291,2112,4452,6223,6029,1199,172,136,506,2848,4056,1649,90,0,0,267,1383,2239,158,1039,1432,1826,1805,1067,777,2564,5432,8701,10381,5924,590,181,687,4601,7900,6383,44717,27476,25353,2147,38399,2,9,6,7,10,7,367,0,0,483,2879,7016,1525,3784,7551,15128,20086,13374,41,1101,6226,14614,19165,20342,10745,4,978232,30471,28720,28853,28969,29129,29733,28093,28085,30025,33095,33846,32578,32233,31839,34176,36179,35976,37070,36951,37324,37765,35878,35460,34089,34171,33998,31906,31298,30673,29649,146142,149031,348172,497203,334887,0,83880,88846,224292,313138,238983,238983,5330,5178,10743,15921,9846,0,43913,42521,85613,128134,62880,0,13019,12486,27524,40010,23178,0,0.20850269496440887,0.19652119278907776,0.1974312663078308,0.1982250213623047,0.19931983947753906,0.05980052426457405,0.056502074003219604,0.05648598074913025,0.060387808829545975,0.06656234711408615,0.06807279586791992,0.06552253663539886,0.06482864916324615,0.06403622031211853,0.06873650848865509,0.0727650448679924,0.07235676050186157,0.07455707341432571,0.07431773096323013,0.0750679299235344,0.11276938021183014,0.10713464766740799,0.10588646680116653,0.10179254412651062,0.10203740000724792,0.10152081400156021,0.0952739268541336,0.093458391726017,0.09159208834171295,0.08853434026241302,0.39754486083984375,832090,636001,31097,234927,54121,7327,72193,72234,978232,-2.610138177871704,-2.21777606010437,-3.8222270011901855,-2.6064038276672363,0,868,7996,2471,11335,59923,65899,72193,121,9659,11885,19929,19854,135,9729,12217,21832,28321
1996,AZ,522,44336,756,14368,12032,501,206,343,1188,3789,9070,1192,6574,5032,2289,104,15087,12554,48,111,123,290,520,798,280,317,639,1861,3404,4448,254,35,127,1317,3060,4493,117,0,0,164,1184,4155,1,18,33,76,46,17,22,30,105,295,312,98,13,3,20,218,315,159,12,0,0,37,143,267,47,865,1305,1413,1178,192,171,2063,4660,6403,5888,1177,81,83,525,2907,3935,1682,57,0,0,253,1367,2274,111,1062,1559,1969,1993,1144,543,2599,5717,9287,10644,6338,388,132,720,4905,8101,6828,46043,29006,27745,2240,38526,2,7,7,11,12,17,204,0,0,506,2975,7324,1042,3793,7996,16161,20738,14310,56,1249,6589,14948,20180,21074,11009,4,1005051,31398,31000,30492,29939,31083,30089,29811,28692,29429,31501,35205,34959,33877,32361,33931,35251,35637,36967,37159,38020,38760,37460,36165,35380,36020,35095,33343,32847,31709,31471,153912,149522,353367,502889,348250,0,87524,86495,223915,310410,245821,245821,5637,5209,11130,16339,10509,0,47047,44997,90292,135289,67459,0,13704,12821,28030,40851,24461,0,0.20399968326091766,0.20141379535198212,0.19811320304870605,0.1945202499628067,0.20195306837558746,0.059832289814949036,0.05927948281168938,0.057054340839385986,0.0585198737680912,0.06264006346464157,0.07000550627708435,0.06951633095741272,0.06736476719379425,0.0643501877784729,0.06747214496135712,0.07009697705507278,0.07086454331874847,0.07350926101207733,0.0738910585641861,0.07560316473245621,0.11129935085773468,0.10756640136241913,0.10384780913591385,0.10159368067979813,0.10343144088983536,0.10077530145645142,0.09574443846940994,0.09432017058134079,0.09105240553617477,0.09036898612976074,0.39647331833839417,851139,643755,32485,249795,56202,7838,75049,75105,1005051,-2.6376678943634033,-2.1914172172546387,-3.7939369678497314,-2.5946524143218994,0,852,8316,2621,11789,62998,68511,75049,86,10257,12802,20514,20381,93,10341,13182,22539,28950
1997,AZ,517,44185,798,14737,12224,575,206,360,1211,4047,9093,1182,6984,5060,2253,84,15479,12741,57,100,135,291,515,807,297,318,641,1918,3606,4474,291,32,131,1321,3125,4511,161,0,0,167,1199,4207,3,25,39,64,53,15,14,56,105,303,341,112,20,3,19,208,312,189,9,0,0,26,148,297,61,977,1327,1449,1125,160,214,2461,4564,6414,5332,1039,103,138,510,2894,3674,1541,72,0,0,259,1258,2221,209,1166,1588,2000,1958,1151,644,3049,5671,9447,10360,6236,438,190,703,4894,7930,6747,47151,28265,28304,2361,37793,8,10,10,10,10,14,260,0,0,499,2890,7386,1291,4405,7962,16341,20248,14134,62,1284,6788,14907,20500,20902,11035,4,1034713,32280,31309,33039,31927,32153,32254,30325,30729,30382,31056,33881,36486,36519,34279,34255,35363,34665,36741,36997,38253,39765,38506,37744,36432,37140,37343,34448,34530,33351,32561,160708,154746,357439,512185,361820,0,90627,87651,222309,309960,252485,252485,5807,5378,11301,16679,11268,0,49933,48495,95023,143518,72228,0,14341,13222,28806,42028,25839,0,0.20086118578910828,0.19481918215751648,0.20558403432369232,0.19866466522216797,0.20007093250751495,0.06297334283590317,0.05920712277293205,0.059995900839567184,0.059318412095308304,0.06063434109091759,0.06614992767572403,0.07123597711324692,0.071300409734249115,0.0669269859790802,0.06688012927770615,0.06904341280460358,0.06768061965703964,0.07173384726047516,0.0722336620092392,0.07468590140342712,0.10990271717309952,0.10642307996749878,0.1043170616030693,0.10069095343351364,0.10264772176742554,0.10320878028869629,0.0952075645327568,0.09543419629335403,0.0921756699681282,0.08999226242303848,0.39873558282852173,874005,653072,33754,265679,56309,8072,75416,75478,1034713,-2.6785171031951904,-2.207831621170044,-3.8027455806732178,-2.6188600063323975,0,893,8720,2754,12367,63090,68458,75416,174,10171,12634,20809,20593,224,10245,13005,22949,29055
1998,AZ,523,45361,917,15118,12927,490,249,375,1291,4183,9402,1345,7227,5192,2216,90,15980,13450,51,105,139,325,534,919,275,381,652,1978,3613,4784,252,54,142,1369,3291,4646,143,0,0,206,1303,4358,6,20,42,70,45,13,19,64,118,317,299,98,14,3,27,249,345,187,13,0,0,48,142,313,65,1020,1436,1536,1185,155,242,2672,4648,6428,5185,1063,81,110,560,2930,3733,1635,61,0,0,266,1321,2214,218,1230,1730,2137,2071,1245,677,3367,5816,9538,10181,6543,402,187,802,5046,8222,6972,48178,29767,29520,2452,38546,9,9,8,17,8,11,255,0,0,584,3095,7627,1297,4784,8348,16721,20474,14760,62,1429,7202,14935,21187,21631,11561,4,1053733,33192,33051,33626,34356,33731,32978,32085,30981,32195,31596,33079,34614,37576,36504,35356,35416,34132,35321,36167,37548,39705,38973,38215,37806,37386,38293,36114,35346,34619,33772,167956,159835,355713,515548,370229,0,93839,89560,216352,305912,255669,255669,6278,5297,11569,16866,11676,0,52779,51693,99061,150754,76289,0,15060,13285,28731,42016,26595,0,0.19762319326400757,0.19678367674350739,0.2002072036266327,0.20455357432365417,0.20083236694335938,0.06396688520908356,0.062234748154878616,0.060093335807323456,0.06244811415672302,0.06128624454140663,0.06416279077529907,0.06714020669460297,0.07288555055856705,0.07080621272325516,0.06857945024967194,0.06869583576917648,0.06620527803897858,0.06851156800985336,0.07015253603458405,0.07283124327659607,0.10724443197250366,0.10526727885007858,0.1032198965549469,0.10211517661809921,0.100980743765831,0.10343057662248611,0.09754503518342972,0.09547064453363419,0.09350699186325073,0.0912192165851593,0.40538594126701355,885777,655420,34820,279822,57753,8631,77945,78007,1053733,-2.6760647296905518,-2.1890552043914795,-3.758761405944824,-2.604090929031372,0,989,9183,2960,13132,65087,70518,77945,250,10609,13286,21348,20891,298,10688,13710,23467,29844
1999,AZ,620,45848,892,16939,13381,631,286,446,1492,4202,10727,1425,8178,5594,2581,64,17778,14001,68,125,162,381,573,915,351,435,759,2173,3700,5486,267,53,163,1461,3365,5125,138,0,0,201,1342,4600,10,18,53,68,52,23,22,76,119,354,271,114,13,8,24,250,362,190,12,0,0,38,196,312,90,1046,1413,1568,1140,145,289,2779,4920,6429,4882,999,120,135,597,2895,3885,1615,66,0,0,297,1388,2075,291,1312,1754,2232,2023,1247,868,3594,6219,9793,9996,7140,486,206,845,5129,8422,7488,49613,31221,31843,2585,38773,10,17,13,16,10,9,257,0,0,600,3252,7680,1645,5112,8818,17154,20441,15875,75,1459,7400,15573,22037,22576,11789,4,1071298,33591,33892,34607,35133,36145,34602,32792,32877,32597,33455,33782,33714,35647,37677,37222,36796,34002,34756,34579,36606,39126,38870,38564,38507,38430,38806,36944,37192,35406,34981,173368,166323,354781,521104,376826,0,95976,92025,210751,302776,256788,256788,6517,5554,11698,17252,11941,0,55376,55104,103393,158497,80477,0,15499,13640,28939,42579,27620,0,0.19375547766685486,0.19549167156219482,0.19961585104465485,0.20264986157417297,0.2084871530532837,0.06640133261680603,0.06292793899774551,0.06309105455875397,0.06255373358726501,0.06420023739337921,0.06482774764299393,0.0646972581744194,0.06840669363737106,0.07230226695537567,0.07142911851406097,0.0706116259098053,0.06524992734193802,0.06669685989618301,0.06635719537734985,0.07024701684713364,0.10383041203022003,0.10315105319023132,0.102339006960392,0.10218774527311325,0.10198340564966202,0.10298121720552444,0.09803994745016098,0.09869807213544846,0.09395848214626312,0.09283064305782318,0.41113701462745667,897930,655540,35710,294350,60186,8859,80834,80909,1071298,-2.6882495880126953,-2.1585099697113037,-3.750349760055542,-2.584228515625,0,1051,9813,3066,13930,67400,73201,80834,244,11081,13590,22378,21752,282,11161,14018,24652,30796
2000,AZ,729,47068,1011,19139,13647,620,300,521,1493,4646,12523,1627,9167,6352,2946,61,20092,14376,55,123,182,395,577,1097,337,473,833,2245,3960,6286,278,60,192,1527,3636,5688,166,0,0,200,1494,4725,9,28,54,81,62,16,26,85,126,322,278,117,19,6,22,228,387,213,9,0,0,42,161,300,120,1046,1547,1627,1133,196,323,2763,5400,6366,4887,1007,128,125,606,3017,3980,1778,58,0,0,303,1431,1940,281,1306,1945,2333,2081,1478,886,3676,6892,9852,10246,7995,484,206,883,5286,8856,8261,51716,33249,34529,2591,39781,15,19,11,22,14,9,260,0,0,599,3423,7736,1651,5188,9720,17471,21183,17734,90,1574,7850,16411,23136,23976,12018,4,1089732,35701,34368,35051,36302,36993,37152,34542,33871,34598,33753,35500,34319,34582,36131,37865,38429,35341,34606,34114,34939,38185,38624,38386,39113,38847,39742,37771,37896,37201,35810,178415,173916,355826,529742,381575,0,97784,95105,206620,301725,256394,256394,6704,5940,11714,17654,12367,0,57882,58677,108208,166885,84726,0,16045,14194,29284,43478,28088,0,0.2001008838415146,0.19262954592704773,0.19645769894123077,0.2034694403409958,0.20734243094921112,0.07013225555419922,0.06520532816648483,0.063938669860363,0.06531103700399399,0.06371591985225677,0.06701375544071198,0.06478437036275864,0.06528083235025406,0.06820490211248398,0.07147818803787231,0.07254286110401154,0.0667136088013649,0.06532613933086395,0.06439738720655441,0.06595474481582642,0.10007207095623016,0.10122256726026535,0.10059883445501328,0.10250409692525864,0.10180698335170746,0.10415252298116684,0.09898709505796432,0.09931468218564987,0.09749328345060349,0.09384787082672119,0.4108118712902069,911317,655903,36725,309493,63523,9424,84965,85055,1089732,-2.697706699371338,-2.120988130569458,-3.701047897338867,-2.551447629928589,0,1089,10568,3251,14908,71296,76901,84965,284,11578,14552,23313,23220,334,11676,14944,25573,32528
2001,AZ,800,45900,1153,20482,13595,673,384,585,1696,5031,13215,1848,9976,6571,3175,66,21570,14395,58,175,226,362,637,1205,376,549,866,2366,4210,6610,309,55,210,1553,3721,5848,157,0,0,222,1506,4810,8,38,34,71,54,17,27,86,114,329,298,143,17,6,30,247,366,174,9,0,0,48,172,258,123,1189,1555,1445,1103,169,345,3128,5050,6226,4645,949,172,162,647,2948,4001,1602,61,0,0,275,1245,1754,268,1525,1951,2095,2066,1527,886,4158,6539,9884,10251,8217,552,246,964,5291,9008,8225,51742,33564,36031,2546,38794,9,12,15,23,16,18,257,0,0,614,3266,7516,1706,5929,9454,17270,21325,17969,93,1658,7774,16996,22939,24286,11653,4,1106964,36658,36313,34951,34711,35758,38356,38699,36879,35672,35696,35178,36011,34874,34991,36288,38057,38565,35702,34847,34304,35295,38752,38908,38738,39436,39099,40224,38241,38278,37483,178391,185302,358817,544119,384454,0,95543,102387,204011,306398,254151,254151,6896,6539,12137,18676,12729,0,59694,61609,112714,174323,88990,0,16258,14767,29955,44722,28584,0,0.20549243688583374,0.20355847477912903,0.1959235668182373,0.19457820057868958,0.20044733583927155,0.07049193233251572,0.07112231105566025,0.06777745485305786,0.06555918604135513,0.06560329347848892,0.06465129554271698,0.0661822110414505,0.06409259885549545,0.06430762261152267,0.06669129431247711,0.0699424222111702,0.07087603956460953,0.06561432033777237,0.06404297798871994,0.06304503232240677,0.09180552512407303,0.10079749673604965,0.10120326280593872,0.10076107829809189,0.10257664322853088,0.1017000749707222,0.10462629795074463,0.09946833550930023,0.0995645746588707,0.09749671071767807,0.3950255513191223,928573,656092,38301,323007,64221,9432,85306,85399,1106964,-2.7284140586853027,-2.1368377208709717,-3.7077159881591797,-2.56313157081604,0,1210,10697,3476,15383,71947,77371,85306,248,11868,14929,23735,22873,292,11957,15307,26066,31777
2002,AZ,960,46502,1160,21517,14159,548,451,613,1795,5644,13568,2035,10615,6758,3195,41,22603,15119,55,156,194,415,760,1280,320,689,963,2479,4520,6944,255,68,188,1592,4281,5864,114,0,0,233,1543,4850,2,32,52,65,63,17,20,86,148,347,298,121,22,7,23,232,417,175,8,0,0,22,158,221,112,1252,1485,1446,1044,155,370,3288,5256,6143,4601,931,171,161,592,2968,4254,1657,55,0,0,260,1174,1582,197,1581,1892,2168,2159,1591,810,4490,6962,9979,10555,8567,515,264,880,5317,9944,8309,52274,35269,37763,2536,38957,10,19,14,14,14,14,211,0,0,569,3227,7356,1522,6335,9734,17464,22658,18467,85,1633,7955,17801,23562,25229,11363,4,1126450,37386,37374,36920,35172,34634,36520,39735,40566,38746,37002,37080,35765,36866,35227,35214,36915,38239,39123,36106,35259,34920,35949,39096,39436,39365,39891,39696,40835,38687,38726,181486,192569,365794,558363,386601,0,95918,105739,204913,310652,251003,251003,7215,6899,12541,19440,13122,0,61595,64482,117436,181918,93224,0,16758,15449,30904,46353,29252,0,0.20599935948848724,0.20593324303627014,0.20343166589736938,0.19380007684230804,0.19083565473556519,0.0654054805636406,0.07116338610649109,0.07265166193246841,0.0693921372294426,0.06626871973276138,0.06640841066837311,0.06405331194400787,0.06602514535188675,0.0630897805094719,0.0630664974451065,0.06611290574073792,0.0684841200709343,0.07006732374429703,0.06466402858495712,0.06314709037542343,0.09032568335533142,0.09298734366893768,0.10112752020359039,0.10200697928667068,0.10182332992553711,0.10318390280008316,0.10267950594425201,0.1056256964802742,0.10006958246231079,0.10017046332359314,0.3846357464790344,944964,657573,39777,336737,66592,9588,87543,87628,1126450,-2.7708160877227783,-2.126424789428711,-3.69688081741333,-2.5546963214874268,0,1144,11452,3473,16069,74658,79256,87543,272,12212,15561,24352,23783,309,12297,15920,26553,32549
