year,stname,pop,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,pop30,pop31,pop32,pop33,pop34,pop35,pop36,pop37,pop38,pop39,pop40,pop41,pop42,pop43,pop44,pop1519,pop2024,pop2534,pop2034,pop3544,pop45plus,popwhitenh1519,popwhitenh2024,popwhitenh2534,popwhitenh2034,popwhitenh3544,popwhitenh45plus,popblacknh1519,popblacknh2024,popblacknh2534,popblacknh2034,popblacknh3544,popblacknh45plus,pophispanic1519,pophispanic2024,pophispanic2534,pophispanic2034,pophispanic3544,pophispanic45plus,popotherrace1519,popotherrace2024,popotherrace2534,popotherrace2034,popotherrace3544,popotherrace45plus,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819,pop2045plus,popwhite1544,popblack1544,pophispanic1544
2000,IA,610675,21467,21137,21604,22748,23881,23533,21426,19944,18174,17208,17302,16165,16477,17481,18823,18477,18297,17607,18192,18620,19822,21248,21806,22551,23061,23270,22384,22809,22804,22357,110837,100285,177441,277726,222112,0,101976,90782,161090,251872,209742,209742,3019,2912,4500,7412,4199,0,3598,3879,6698,10577,4622,0,2244,2712,5153,7865,3549,0,0.1936808079481125,0.19070346653461456,0.19491685926914215,0.20523832738399506,0.21546053886413574,0.08473459631204605,0.07714798301458359,0.07181178778409958,0.06543859839439392,0.06196035072207451,0.062298811972141266,0.05820484831929207,0.05932825803756714,0.06294333189725876,0.0677754357457161,0.06652960181236267,0.06588148325681686,0.06339702010154724,0.06550341099500656,0.06704449653625488,0.08924326300621033,0.09566345065832138,0.09817569702863693,0.10152985900640488,0.10382600128650665,0.10476696491241455,0.10077798366546631,0.10269143432378769,0.10266892611980438,0.1006564274430275,0.420698881149292,499838,563590,14630,18797
2001,IA,605562,21019,21501,21170,22276,25056,23520,23051,19595,17722,17298,16414,17103,16089,16311,17483,18875,18596,18470,17617,18245,18639,19937,21285,21743,22489,23065,23177,22298,22752,22766,111022,101186,175203,276389,218151,0,101663,91219,158090,249309,205101,205101,3105,3156,4559,7715,4269,0,3841,4143,7355,11498,5056,0,2413,2668,5199,7867,3725,0,0.1893228441476822,0.1936643123626709,0.19068293273448944,0.20064491033554077,0.2256850004196167,0.08509745448827744,0.08340056985616684,0.0708964541554451,0.06411977112293243,0.06258570402860641,0.05938731133937836,0.06188017502427101,0.05821143463253975,0.05901464819908142,0.06325504928827286,0.06829143315553665,0.06728198379278183,0.06682610511779785,0.063739873468875885,0.06601203233003616,0.08544082194566727,0.09139082580804825,0.0975700318813324,0.09966949373483658,0.10308914631605148,0.10572952032089233,0.10624292492866516,0.10221360623836517,0.10429473221302032,0.10435890406370163,0.42632991075515747,494540,556073,15089,20395
2002,IA,599465,20406,21047,21464,21836,24420,24728,23003,21401,17568,17073,16566,16238,16995,15800,16369,17611,19093,18730,18358,17565,18205,18621,19919,21181,21698,22516,23052,23104,22181,22717,109173,103773,173325,277098,213194,0,99604,93266,155632,248898,199565,199565,3178,3231,4636,7867,4308,0,3967,4440,7800,12240,5487,0,2424,2836,5257,8093,3834,0,0.1869143396615982,0.19278575479984283,0.196605384349823,0.20001281797885895,0.22368167340755463,0.08923918753862381,0.08301395177841187,0.07723260670900345,0.06339995563030243,0.06161358207464218,0.059783902019262314,0.058600205928087234,0.0613320916891098,0.057019539177417755,0.059072963893413544,0.06355512887239456,0.06890342384576797,0.06759341806173325,0.06625092774629593,0.0633891224861145,0.08539170771837234,0.08734298497438431,0.09343133121728897,0.09935082495212555,0.10177584737539291,0.10561272501945496,0.10812687128782272,0.10837078094482422,0.10404139012098312,0.1065555289387703,0.4236944913864136,490292,548067,15353,21694
2003,IA,594227,20357,20428,20978,22207,23881,24120,24219,21222,19423,16954,16504,16487,16173,16866,15924,16564,17783,19224,18634,18333,17514,18321,18564,19898,21182,21759,22580,22954,23004,22170,107851,105938,172492,278430,207946,0,97776,94830,154060,248890,193652,193652,3358,3329,4789,8118,4348,0,4231,4718,8317,13035,5925,0,2486,3061,5326,8387,4021,0,0.18875114619731903,0.18940946459770203,0.1945090889930725,0.20590443909168243,0.221425861120224,0.08662859350442886,0.08698415756225586,0.07622023671865463,0.06975900381803513,0.06089142709970474,0.059275221079587936,0.059214163571596146,0.05808641389012337,0.060575369745492935,0.057192113250494,0.059490714222192764,0.06386883556842804,0.06904428452253342,0.06692525744438171,0.06584420055150986,0.08422379195690155,0.08810460567474365,0.08927317708730698,0.09568830579519272,0.10186298191547394,0.1046377420425415,0.10858587920665741,0.11038442701101303,0.11062487214803696,0.10661421716213226,0.4273303151130676,486376,540318,15824,23191
2004,IA,591076,20641,20397,20342,21893,24146,23460,23547,22672,19341,18898,16507,16451,16477,15922,17228,16274,16870,17968,19160,18561,18310,17619,18273,18555,19940,21289,21829,22483,22929,23094,107419,107918,171418,279336,204321,0,96943,96529,151882,248411,189271,189271,3477,3330,5129,8459,4388,0,4529,4884,8921,13805,6400,0,2470,3175,5486,8661,4262,0,0.19215409457683563,0.18988260626792908,0.18937060236930847,0.20380938053131104,0.22478333115577698,0.08398488163948059,0.0842963308095932,0.0811639055609703,0.06923919916152954,0.06765329092741013,0.05909370630979538,0.05889323353767395,0.05898630991578102,0.05699945613741875,0.061674829572439194,0.05825958773493767,0.06039321795105934,0.06432396918535233,0.06859122961759567,0.06644686311483383,0.0896138921380043,0.08623196184635162,0.08943280577659607,0.09081298857927322,0.09759153425693512,0.10419388860464096,0.10683678835630417,0.11003763973712921,0.11222047358751297,0.11302802711725235,0.428592711687088,483657,534625,16324,24734
2005,IA,587349,21267,20701,20314,21293,23604,23662,22875,21698,20971,18704,18693,16490,16555,16173,16277,17642,16574,16992,17771,19077,18500,18462,17556,18322,18569,20056,21444,21720,22380,23007,107179,107910,172244,280154,200016,0,96107,96049,152007,248056,184233,184233,3783,3336,5427,8763,4465,0,4795,5165,9290,14455,6856,0,2494,3360,5520,8880,4462,0,0.1984250694513321,0.19314417243003845,0.18953339755535126,0.19866764545440674,0.22022971510887146,0.08446069061756134,0.08165152370929718,0.07745026051998138,0.0748552605509758,0.06676328182220459,0.0667240172624588,0.05886048451066017,0.05909249931573868,0.05772896483540535,0.05810018628835678,0.06297250837087631,0.05916031822562218,0.06065235659480095,0.0634329691529274,0.06809469312429428,0.09249260276556015,0.09230261296033859,0.08777298033237457,0.09160266816616058,0.09283757209777832,0.10027197748422623,0.10721142590045929,0.10859131067991257,0.11189104616641998,0.11502579599618912,0.4188973605632782,480170,528396,17011,26106
2006,IA,584547,21003,21331,20585,21385,23049,23188,23118,21218,19888,20497,18386,18597,16586,16207,16786,16868,17954,16765,16835,17656,19096,18743,18377,17572,18416,18684,20208,21397,21684,22468,107353,107909,172640,280549,196645,0,95579,95819,151497,247316,180033,180033,4032,3462,5701,9163,4661,0,5199,5272,9808,15080,7293,0,2543,3356,5634,8990,4658,0,0.19564427435398102,0.19869962334632874,0.19175058603286743,0.19920262694358826,0.21470288932323456,0.08265222609043121,0.08240272104740143,0.07563028484582901,0.07088957726955414,0.07306031882762909,0.06553579121828079,0.06628788262605667,0.05911979824304581,0.05776887387037277,0.05983268469572067,0.060124970972537994,0.06399594992399216,0.05975783243775368,0.06000734120607376,0.06293375045061111,0.09710900485515594,0.0953138917684555,0.09345266968011856,0.08935900032520294,0.09365099668502808,0.09501385688781738,0.10276386141777039,0.10881029069423676,0.11026977747678757,0.11425665766000748,0.4139055013656616,477194,522928,17856,27572
2007,IA,581579,20787,21049,21224,21645,23019,22562,22533,21459,19541,19185,20445,18404,18741,16286,16914,17366,17187,18053,16582,16647,17643,19297,18582,18427,17583,18501,18781,20064,21297,21775,107724,105280,176625,281905,191950,0,95054,92997,154622,247619,174361,174361,4387,3614,5984,9598,4811,0,5635,5314,10278,15592,7848,0,2648,3355,5741,9096,4930,0,0.19296535849571228,0.1953974962234497,0.19702202081680298,0.2009301483631134,0.21368497610092163,0.0800340548157692,0.07993118464946747,0.07612138986587524,0.06931767612695694,0.06805483996868134,0.07252442836761475,0.06528440117835999,0.06647983938455582,0.057771235704422,0.05999893695116043,0.061602313071489334,0.060967348515987396,0.06403930485248566,0.05882123485207558,0.05905180796980858,0.09191456437110901,0.10053139179944992,0.09680645912885666,0.09599895775318146,0.09160198271274567,0.09638447314500809,0.09784318506717682,0.10452722012996674,0.110950767993927,0.11344099789857864,0.41461512446403503,473855,517034,18796,29075
2008,IA,579260,20351,20893,20905,22350,23107,22551,21911,20882,19972,19030,18975,20455,18595,18312,17105,17624,17795,17351,17826,16375,16527,17862,19073,18486,18521,17664,18671,18668,20030,21393,107606,104346,180413,284759,186895,0,94228,91401,157413,248814,168823,168823,4598,3862,6365,10227,4866,0,6092,5662,10792,16454,8163,0,2688,3421,5843,9264,5043,0,0.18912513554096222,0.1941620409488678,0.19427354633808136,0.207702174782753,0.21473710238933563,0.07919327914714813,0.07694576680660248,0.07333218306303024,0.07013650238513947,0.06682844460010529,0.06663529574871063,0.07183267176151276,0.0653008297085762,0.06430701166391373,0.060068339109420776,0.06189093366265297,0.062491439282894135,0.0609322264790535,0.06260030716657639,0.057504765689373016,0.08842933177947998,0.09557238221168518,0.10205195099115372,0.09891115128993988,0.09909842163324356,0.09451296180486679,0.09990101307630539,0.09988496452569962,0.10717247426509857,0.11446534097194672,0.4224392771720886,471654,511865,19691,30709
2009,IA,577301,19864,20494,20691,22067,23605,22618,21888,20354,19425,19636,19046,18791,20532,18064,19434,18036,18072,17982,17029,17599,16318,16646,17709,19052,18564,18548,17815,18579,18686,20157,106721,103921,184585,288506,182074,0,92482,90318,160718,251036,162990,162990,4894,4059,6504,10563,5197,0,6602,6007,11173,17180,8667,0,2743,3537,6190,9727,5220,0,0.18613019585609436,0.19203343987464905,0.1938793659210205,0.2067728042602539,0.22118420898914337,0.0783969834446907,0.0758667066693306,0.07054965943098068,0.06732962280511856,0.0680609792470932,0.06601595878601074,0.06513209640979767,0.07116663455963135,0.06261221319437027,0.06736081838607788,0.06251516193151474,0.06263994425535202,0.06232799217104912,0.05902476981282234,0.061000462621450424,0.08962289988994598,0.0914243683218956,0.09726265072822571,0.10463877022266388,0.10195854306221008,0.10187067091464996,0.09784483164548874,0.10204093158245087,0.10262860357761383,0.11070773750543594,0.4279569983482361,470580,506508,20654,32449
2010,IA,577054,19743,20107,20347,21682,23671,23255,22093,20596,19051,19111,19545,18912,19209,19332,19314,19917,18679,18163,17741,16877,17347,16570,16642,17609,18972,19016,18494,17954,18326,18779,105550,104106,187689,291795,179709,0,90709,89737,162744,252481,159855,159855,4963,4388,6959,11347,5231,0,7042,6352,11574,17926,9182,0,2836,3629,6412,10041,5441,0,0.1870487928390503,0.19049739837646484,0.19277119636535645,0.20541922748088837,0.22426338493824005,0.07969636470079422,0.075714111328125,0.07058379799127579,0.06528899073600769,0.0654946118593216,0.0669819563627243,0.06481262296438217,0.06583046168088913,0.06625199317932129,0.06619030237197876,0.06825682520866394,0.06401412189006805,0.06224575638771057,0.06079953536391258,0.057838551700115204,0.09652827680110931,0.09220462292432785,0.09260527044534683,0.09798619151115417,0.10557067394256592,0.10581551492214203,0.10291081666946411,0.09990596026182175,0.10197596997022629,0.10449671745300293,0.4296826124191284,471504,503045,21541,34150
2011,IA,579528,19450,19910,20206,21135,24624,23897,23391,21381,19166,18419,18732,19432,18907,19185,19434,19433,19991,18737,18216,17780,16919,17403,16599,16679,17647,19010,19053,18522,17938,18332,105325,106254,189847,296101,178102,0,89866,90888,163898,254786,157561,157561,5147,4702,7264,11966,5273,0,7281,6600,11816,18416,9598,0,3031,4064,6869,10933,5670,0,0.18466651439666748,0.18903394043445587,0.19184428453445435,0.20066460967063904,0.23379065096378326,0.08070556819438934,0.0789966955780983,0.072208471596241,0.06472791731357574,0.06220512464642525,0.06326219439506531,0.06562625616788864,0.06385321170091629,0.06479208171367645,0.06563301384449005,0.06562963128089905,0.06751412153244019,0.06327908486127853,0.061519548296928406,0.060047078877687454,0.0949961245059967,0.09771367162466049,0.09319940209388733,0.09364858269691467,0.09908366948366165,0.10673658549785614,0.10697802156209946,0.10399658977985382,0.10071756690740585,0.10292977839708328,0.4344552755355835,474203,502213,22386,35295
2012,IA,580527,19493,19490,19985,21017,23757,24475,23840,22417,19824,18419,18085,18599,19366,18838,19227,19562,19427,20034,18839,18247,17805,16985,17444,16605,16645,17632,19004,19050,18470,17946,103742,108975,190224,299199,177586,0,87917,92765,163564,256329,156211,156211,5134,4973,7527,12500,5467,0,7558,6871,11980,18851,9976,0,3133,4366,7153,11519,5932,0,0.18789882957935333,0.18786990642547607,0.19264136254787445,0.20258910953998566,0.22900079190731049,0.08180174231529236,0.07967940717935562,0.07492338120937347,0.06625690311193466,0.06156103312969208,0.06044472008943558,0.06216264143586159,0.06472615152597427,0.06296143680810928,0.06426157802343369,0.0653812363743782,0.0649300292134285,0.06695877760648727,0.0629647821187973,0.06098616495728493,0.10026127845048904,0.09564380347728729,0.09822846204042435,0.09350398927927017,0.09372923523187637,0.09928710758686066,0.10701294243335724,0.10727196931838989,0.10400594770908356,0.10105526447296143,0.43158990144729614,476785,500457,23101,36385
2013,IA,584411,19923,19654,19657,20922,23875,23770,24543,23027,20917,19135,18113,17971,18606,19319,18954,19334,19680,19490,20142,18904,18346,17875,17006,17539,16713,16703,17667,19076,19078,18472,104031,111392,190513,301905,178475,0,87256,94029,162686,256715,155951,155951,5391,5475,7872,13347,5826,0,7997,7135,12312,19447,10455,0,3387,4753,7643,12396,6243,0,0.19151023030281067,0.18892446160316467,0.18895329535007477,0.20111313462257385,0.22949889302253723,0.07873337715864182,0.08129378408193588,0.07627233862876892,0.0692833811044693,0.06338086724281311,0.05999569222331047,0.059525348246097565,0.06162865832448006,0.06399032473564148,0.06278134137392044,0.06404001265764236,0.06518606841564178,0.06455673277378082,0.06671635061502457,0.06261572241783142,0.10279310494661331,0.1001540794968605,0.09528505057096481,0.09827146679162979,0.09364336729049683,0.09358733892440796,0.09898865222930908,0.10688331723213196,0.10689452290534973,0.10349909216165543,0.4306120276451111,480380,499922,24564,37899
2014,IA,587178,19873,20012,19799,20678,23858,23819,23766,23681,21384,20144,18864,18094,17998,18625,19424,19016,19448,19849,19622,20170,19059,18349,17878,17027,17587,16721,16646,17679,19057,19051,104220,112794,191110,303904,179054,0,86691,94428,162227,256655,155504,155504,5614,5849,8313,14162,6202,0,8291,7546,12337,19883,10780,0,3624,4971,8233,13204,6568,0,0.19068317115306854,0.19201688468456268,0.1899731308221817,0.19840721786022186,0.2289195954799652,0.07837672531604767,0.07820232957601547,0.07792263478040695,0.0703643262386322,0.06628409028053284,0.062072232365608215,0.05953853949904442,0.05922264978289604,0.061285801231861115,0.06391491740942001,0.06257238984107971,0.0639938935637474,0.06531339138746262,0.06456644088029861,0.06636964529752731,0.10644274950027466,0.10247746855020523,0.0998469740152359,0.0950942188501358,0.09822176396846771,0.0933852344751358,0.09296637028455734,0.09873557835817337,0.10643158107995987,0.1063980683684349,0.4273267984390259,482958,498850,25978,38954
2015,IA,588490,20290,19945,20108,20761,23546,23522,23715,22871,22098,20542,19725,18687,17963,17928,18741,19554,19199,19589,19913,19642,20209,19115,18356,17869,16999,17571,16734,16613,17689,18996,104650,112748,190941,303689,180151,0,86397,93944,160926,254870,155510,155510,5802,5915,8880,14795,6574,0,8597,7861,12608,20469,11166,0,3854,5028,8527,13555,6901,0,0.19388437271118164,0.19058766961097717,0.1921452432870865,0.198385089635849,0.2249976098537445,0.07745423913002014,0.07808975875377655,0.0753105953335762,0.07276523113250732,0.06764157116413116,0.06495131552219391,0.06153334677219391,0.059149328619241714,0.0590340793132782,0.061711158603429794,0.06438823789358139,0.06321927905082703,0.0645034909248352,0.06557036936283112,0.06467800587415695,0.11217811703681946,0.10610543191432953,0.10189229995012283,0.09918901324272156,0.09435973316431046,0.09753484278917313,0.092888742685318,0.0922170877456665,0.09818985313177109,0.10544487833976746,0.4233826994895935,483840,496777,27171,40232
2016,IA,589282,19928,20370,20079,20874,23476,23177,23347,22797,21278,21172,20165,19641,18700,18018,18029,18783,19688,19254,19589,19940,19712,20261,19102,18433,17863,16996,17574,16679,16623,17734,104727,111771,191807,303578,180977,0,85768,92468,160557,253025,155351,155351,5994,6000,9528,15528,6864,0,8937,8136,12981,21117,11542,0,4028,5167,8741,13908,7220,0,0.19028522074222565,0.1945057213306427,0.19172705709934235,0.19931823015213013,0.22416378557682037,0.07634611427783966,0.07690609991550446,0.07509437203407288,0.07009071856737137,0.06974154710769653,0.06642444431781769,0.06469836086034775,0.06159866601228714,0.059352125972509384,0.05938836187124252,0.06187207251787186,0.06485318392515182,0.06342356652021408,0.06452707201242447,0.0656832829117775,0.10891991853713989,0.11195345222949982,0.10554932057857513,0.10185272246599197,0.09870315343141556,0.09391248971223831,0.09710626304149628,0.09216088056564331,0.09185145050287247,0.09799034893512726,0.4234820008277893,484555,494144,28386,41596
2017,IA,591039,19631,20047,20497,20783,23369,23063,23004,22581,21247,20318,20779,20053,19677,18777,18137,18070,18937,19773,19256,19637,20035,19807,20279,19146,18415,17909,16981,17562,16618,16651,104327,110213,193096,303309,183403,0,84950,90415,160369,250784,156602,156602,6124,6081,10318,16399,7301,0,9160,8407,13234,21641,11975,0,4093,5310,9175,14485,7525,0,0.1881679743528366,0.19215543568134308,0.1964688003063202,0.19921018183231354,0.22399762272834778,0.07603796571493149,0.075843445956707,0.0744488313794136,0.0700506716966629,0.0669877901673317,0.06850769370794296,0.06611409783363342,0.06487443298101425,0.06190716475248337,0.05979710444808006,0.05957620590925217,0.06243467703461647,0.06519094109535217,0.06348641216754913,0.0647425577044487,0.10924030840396881,0.10799714177846909,0.11057071387767792,0.10439305752515793,0.10040730237960815,0.09764834493398666,0.09258845448493958,0.09575633704662323,0.09060920774936676,0.09078913927078247,0.4232078194618225,486712,492336,29824,42776
2018,IA,592634,19981,19714,20107,20890,22903,23107,22959,22111,20958,20385,19884,20428,19971,19731,18776,18155,18159,19060,19765,19270,19681,20068,19872,20216,19130,18410,17826,16958,17558,16601,103595,109520,193199,302719,186320,0,84063,89223,159416,248639,158716,158716,6158,6210,10810,17020,7604,0,9382,8746,13681,22427,12226,0,3992,5341,9292,14633,7774,0,0.19287610054016113,0.19029876589775085,0.19409237802028656,0.20165066421031952,0.22108209133148193,0.07633151859045029,0.07584261149168015,0.07304133474826813,0.0692325234413147,0.06733968108892441,0.06568467617034912,0.06748172640800476,0.06597207486629486,0.0651792585849762,0.062024518847465515,0.059973109513521194,0.05998632311820984,0.06296268105506897,0.06529157608747482,0.06365639716386795,0.10563009977340698,0.10770717263221741,0.10665521770715714,0.10850150138139725,0.10267282277345657,0.09880850464105606,0.09567411243915558,0.09101545810699463,0.09423572570085526,0.08909939974546432,0.42273277044296265,489039,491418,30782,44035
2019,IA,594283,19922,20079,19752,20490,23140,22954,23184,22184,20398,19956,19815,19656,20208,19844,19749,18750,18128,18195,19092,19769,19342,19751,20080,19815,20266,19067,18391,17842,16956,17508,103383,108676,193206,301882,189018,0,83524,88187,158608,246795,160632,160632,6254,6190,11304,17494,7962,0,9586,8956,14121,23077,12402,0,4019,5343,9173,14516,8022,0,0.19270092248916626,0.19421955943107605,0.19105654954910278,0.19819505512714386,0.22382789850234985,0.07603633403778076,0.076798215508461,0.07348566502332687,0.06756944954395294,0.06610529869794846,0.0656382292509079,0.06511153280735016,0.0669400617480278,0.06573429703712463,0.06541959941387177,0.06211036071181297,0.06004995480179787,0.060271892696619034,0.06324325501918793,0.06548584997653961,0.10232888162136078,0.10449269413948059,0.10623326897621155,0.1048312857747078,0.10721730440855026,0.10087399184703827,0.09729760885238647,0.09439312666654587,0.08970574289560318,0.09262610226869583,0.4220229387283325,490900,490951,31710,45065
1990,ID,222090,8278,7724,7591,7876,8546,7619,6458,5938,5827,6025,6396,6770,7115,7107,7988,8028,7893,8112,8182,8268,8262,8150,8173,7469,7785,7534,7194,7014,7260,5508,40015,31867,75859,107726,74349,0,36331,28681,69507,98188,69782,69782,104,132,232,364,137,0,2480,2168,4153,6321,2734,0,1100,886,1967,2853,1696,0,0.20687241852283478,0.19302761554718018,0.18970386683940887,0.19682618975639343,0.21356990933418274,0.07072573155164719,0.0599483884871006,0.055121324956417084,0.05409093573689461,0.05592893064022064,0.059372853487730026,0.06284462660551071,0.06604719161987305,0.06597293168306351,0.07415108382701874,0.07452239841222763,0.07326921820640564,0.07530215382575989,0.07595194876194,0.0767502710223198,0.11112456023693085,0.10961814969778061,0.10992750525474548,0.10045864433050156,0.10470887273550034,0.1013329029083252,0.09675987809896469,0.09433886408805847,0.09764757752418518,0.07408303767442703,0.41039609909057617,182075,204301,605,11535
1991,ID,231003,8390,8251,7990,7950,8626,8457,7083,6237,6005,6161,6192,6498,6936,6866,8032,8091,8142,8207,8293,8797,8558,8392,8593,7976,8499,7855,7590,7314,7139,7883,41207,33943,76054,109997,79799,0,37284,30447,69417,99864,74807,74807,135,170,265,435,178,0,2677,2329,4410,6739,3047,0,1111,997,1962,2959,1767,0,0.20360618829727173,0.20023296773433685,0.19389909505844116,0.19292838871479034,0.2093333601951599,0.07688391208648682,0.06439266353845596,0.05670154467225075,0.054592397063970566,0.056010618805885315,0.056292444467544556,0.059074338525533676,0.06305626779794693,0.06241988390684128,0.07302017509937286,0.07355654984712601,0.07402019947767258,0.0746111273765564,0.07539296895265579,0.07997491210699081,0.10724445432424545,0.10516422241926193,0.10768305510282516,0.0999511256814003,0.10650509595870972,0.09843482077121735,0.09511397033929825,0.09165528416633606,0.0894622728228569,0.09878569841384888,0.40226173400878906,189796,211955,748,12463
1992,ID,236793,9188,8512,8643,8300,8599,8397,7819,6808,6278,6256,6298,6274,6613,6682,7661,8150,8181,8360,8361,8841,9024,8591,8746,8316,8907,8526,7835,7651,7364,7612,43242,35558,75421,110979,82572,0,39025,31740,68360,100100,77206,77206,139,177,271,448,204,0,2992,2549,4810,7359,3298,0,1086,1092,1980,3072,1864,0,0.2124786078929901,0.1968456655740738,0.1998751163482666,0.19194301962852478,0.19885759055614471,0.07566296309232712,0.07045476883649826,0.0613449402153492,0.056569259613752365,0.05637102574110031,0.05674947425723076,0.056533217430114746,0.05958785116672516,0.06020959094166756,0.06903107464313507,0.07343731820583344,0.0737166479229927,0.07532956451177597,0.07533857971429825,0.0796637237071991,0.10928644239902496,0.10404253005981445,0.10591968148946762,0.10071210563182831,0.10786949843168259,0.10325533896684647,0.094886884093284607,0.09265852719545364,0.0891827717423439,0.09218621253967285,0.3908005952835083,193551,216331,791,13649
1993,ID,245158,9485,9330,8948,9089,9031,8347,7817,7581,6931,6554,6441,6440,6448,6486,7482,7936,8362,8459,8635,8977,9165,9152,9028,8565,9291,9022,8554,7972,7767,7863,45883,37230,75666,112896,86379,0,41306,33048,68067,101115,80574,80574,168,196,348,544,211,0,3310,2731,5176,7907,3600,0,1099,1255,2075,3330,1994,0,0.2067214399576187,0.20334328711032867,0.1950177699327469,0.1980907917022705,0.19682671129703522,0.07393530011177063,0.06924071907997131,0.0671502947807312,0.06139278784394264,0.058053430169820786,0.05705250799655914,0.0570436492562294,0.05711451172828674,0.05745110660791397,0.06627338379621506,0.07029478251934052,0.07406816631555557,0.07492736726999283,0.07648632675409317,0.07951565831899643,0.10610217601060867,0.10595168173313141,0.10451614111661911,0.09915604442358017,0.10756086558103561,0.10444667935371399,0.09902869910001755,0.0922909528017044,0.08991768956184387,0.09102907031774521,0.39491748809814453,199275,222995,923,14817
1994,ID,253209,10146,9662,9789,9397,9789,8614,7761,7555,7705,7139,6710,6575,6597,6350,7198,7815,8142,8590,8715,9213,9311,9271,9542,8813,9438,9403,9020,8690,8064,8195,48783,38774,75905,114679,89747,0,43813,34271,67884,102155,83532,83532,176,193,351,544,217,0,3661,3133,5517,8650,3911,0,1133,1177,2153,3330,2087,0,0.20798228681087494,0.1980607956647873,0.20066416263580322,0.19262857735157013,0.20066416263580322,0.07511401176452637,0.06767585873603821,0.06587953865528107,0.06718754023313522,0.06225202605128288,0.058511149138212204,0.05733394995331764,0.057525791227817535,0.055371951311826706,0.06276650726795197,0.06814674288034439,0.0709981769323349,0.07490473240613937,0.07599472999572754,0.0803372859954834,0.10374720394611359,0.103301502764225,0.10632110387086868,0.09819826483726501,0.10516229271888733,0.10477230697870255,0.10050474852323532,0.09682774543762207,0.08985258638858795,0.09131224453449249,0.39329272508621216,204426,229500,937,16222
1995,ID,260901,10622,10163,10017,10264,10072,9225,8020,7493,7699,7868,7294,6850,6751,6543,7026,7576,8039,8323,8885,9288,9583,9388,9637,9333,9621,9578,9363,9145,8799,8436,51138,40305,76575,116880,92883,0,45811,35402,68075,103477,86142,86142,204,210,343,553,215,0,3957,3466,5918,9384,4294,0,1166,1227,2239,3466,2232,0,0.20771247148513794,0.1987367570400238,0.19588172435760498,0.20071180164813995,0.19695726037025452,0.07892710715532303,0.06861738860607147,0.06410849094390869,0.0658709779381752,0.06731690466403961,0.06240588799118996,0.05860712006688118,0.057760097086429596,0.05598049238324165,0.060112934559583664,0.0648186206817627,0.06877994537353516,0.07120978832244873,0.07601813971996307,0.07946611940860748,0.10317280888557434,0.10107339173555374,0.1037541851401329,0.10048124939203262,0.10358192771673203,0.10311897844076157,0.10080423951148987,0.0984572023153305,0.09473208338022232,0.0908239409327507,0.39766907691955566,209763,235430,972,17635
1996,ID,266044,10608,10587,10481,10446,10831,9280,8491,7716,7590,7754,7985,7404,6988,6694,7111,7397,7772,8115,8556,9357,9607,9564,9642,9340,9991,9694,9420,9431,9160,9032,52953,40831,77379,118210,94881,0,47284,35709,68468,104177,87767,87767,206,231,337,568,220,0,4214,3668,6234,9902,4592,0,1249,1223,2340,3563,2302,0,0.20032858848571777,0.1999320089817047,0.197930246591568,0.1972692757844925,0.20453988015651703,0.07850435376167297,0.07182979583740234,0.06527366489171982,0.0642077624797821,0.0655951276421547,0.06754927337169647,0.06263429671525955,0.05911513417959213,0.0566280335187912,0.060155656188726425,0.0625750795006752,0.06574739515781403,0.06864901632070541,0.07237966358661652,0.07915574312210083,0.10125315189361572,0.10079994797706604,0.10162203013896942,0.09843909740447998,0.10530032217502594,0.10217008739709854,0.09928225725889206,0.09939819574356079,0.09654198586940765,0.09519292414188385,0.4018091559410095,213091,239228,994,18708
1997,ID,270524,10942,10544,10864,10931,10960,9862,8562,8175,7823,7619,7844,8101,7559,6970,7231,7583,7579,7824,8374,8989,9704,9580,9800,9338,9900,10094,9518,9482,9422,9350,54241,42041,78054,120095,96188,0,48252,36758,68676,105434,88598,88598,206,220,345,565,228,0,4406,3852,6611,10463,4896,0,1377,1211,2422,3633,2466,0,0.20172931253910065,0.19439169764518738,0.20029129087924957,0.20152652263641357,0.20206117630004883,0.08211832493543625,0.07129356265068054,0.06807111203670502,0.06514009833335876,0.0634414404630661,0.06531495600938797,0.06745493412017822,0.06294183433055878,0.05803738534450531,0.06021066755056381,0.06314168125391006,0.06310836970806122,0.06514842063188553,0.06972812861204147,0.07484907656908035,0.10088576376438141,0.09959661960601807,0.10188381373882294,0.09708071500062943,0.1029234379529953,0.10494032502174377,0.09895205497741699,0.09857778251171112,0.09795400500297546,0.09720547497272491,0.4035876989364624,216283,242284,999,19765
