year,parental,delay,sexed,sexedcont,stname,unemp,contmand,aca_mcaid_exp,logben3,tadexpmil,logrstateminwage,sexed1mis,sexed2mis,pctwhitenh,pcthisp,pcthsdrop,pcthsgrad,pctsomecol,pctmarried
2002,0,0,1,1,CA,6.699999809265137,1,0,6.696702480316162,967.8507080078125,2.0856237411499023,0,0,50.173011779785156,29.959266662597656,22.63589096069336,23.411151885986328,28.61898422241211,52.695892333984375
2003,0,0,1,1,CA,6.800000190734863,1,0,6.674167633056641,972.4161376953125,2.063088893890381,0,0,48.68474197387695,31.355588912963867,22.764955520629883,22.984540939331055,28.142505645751953,53.70378875732422
2004,0,0,1,1,CA,6.199999809265137,1,0,6.684042930603027,1078.618408203125,2.036807060241699,0,0,48.99561309814453,30.97867202758789,22.14979362487793,22.344907760620117,28.216045379638672,53.73597717285156
2005,0,0,1,1,CA,5.400000095367432,1,0,6.677354335784912,1084.724853515625,2.0034878253936768,0,0,48.86735153198242,31.69392204284668,22.079547882080078,23.056734085083008,28.075912475585938,53.42620849609375
2006,0,0,1,1,CA,4.900000095367432,1,0,6.64560604095459,1129.0677490234375,1.9717391729354858,0,0,48.580055236816406,31.62099266052246,21.939380645751953,23.368879318237305,28.586172103881836,53.28899383544922
2007,0,0,1,1,CA,5.300000190734863,1,0,6.6175217628479,1136.3431396484375,2.049015760421753,0,0,47.69601821899414,32.18293762207031,21.775768280029297,23.457311630249023,27.532846450805664,52.85172653198242
2008,0,0,1,1,CA,7.199999809265137,1,0,6.579844951629639,1198.1646728515625,2.0758774280548096,0,0,47.23866271972656,32.906097412109375,21.21611976623535,23.055755615234375,27.741546630859375,53.108154296875
2009,0,0,1,1,CA,11.300000190734863,1,0,6.542471885681152,1067.8262939453125,2.079441547393799,0,0,47.3442497253418,33.132083892822266,20.860803604125977,23.21282958984375,28.120601654052734,52.181644439697266
2010,0,0,1,1,CA,12.199999809265137,1,0,6.526202201843262,943.3238525390625,2.063171863555908,0,0,46.228248596191406,33.852352142333984,20.472614288330078,23.594064712524414,27.48855209350586,51.372047424316406
2011,0,0,1,1,CA,11.699999809265137,1,0,6.52353572845459,985.334228515625,2.0320944786071777,0,0,45.528038024902344,34.05967330932617,20.566619873046875,23.741456985473633,27.684280395507812,51.08399963378906
2012,0,0,1,1,CA,10.399999618530273,1,0,6.503052711486816,932.70379638671875,2.011611223220825,0,0,45.3466796875,33.87443161010742,20.02547836303711,23.13739776611328,27.697906494140625,51.06096649169922
2013,0,0,1,1,CA,8.899999618530273,1,0,6.488511085510254,907.7408447265625,1.9970698356628418,0,0,44.47340774536133,34.16965103149414,18.746604919433594,22.493755340576172,28.644872665405273,50.84175109863281
2014,0,0,1,1,CA,7.5,1,1,6.521609783172607,947.25555419921875,2.0987613201141357,0,0,45.64827346801758,32.81552505493164,18.425771713256836,22.745210647583008,28.470977783203125,50.85025405883789
2015,0,0,1,1,CA,6.199999809265137,1,1,6.569848537445068,932.64056396484375,2.0975749492645264,0,0,45.71522903442383,32.016448974609375,17.6861515045166,23.73696517944336,28.113525390625,51.55309295654297
2016,0,0,1,1,CA,5.5,1,1,6.55731201171875,959.56121826171875,2.190399169921875,0,0,45.17168426513672,31.79983139038086,17.10560417175293,23.187763214111328,27.966068267822266,51.73537826538086
